Cromossomo: 0,IDs: [45, 7, 27, 46],Nomes: [Dev45, Dev7, Dev27, Dev46],Fit: [0.75, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.33
Cromossomo: 1,IDs: [56, 28, 17, 62],Nomes: [Dev56, Dev28, Dev17, Dev62],Fit: [0.75, 0.75, 0.75, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.20
Cromossomo: 2,IDs: [82, 48, 65, 85],Nomes: [Dev82, Dev48, Dev65, Dev85],Fit: [0.75, 0.92, 0.58, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 3,IDs: [53, 16, 29, 89],Nomes: [Dev53, Dev16, Dev29, Dev89],Fit: [0.58, 0.58, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 4,IDs: [45, 7, 27, 46],Nomes: [Dev45, Dev7, Dev27, Dev46],Fit: [0.75, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.33
Cromossomo: 5,IDs: [56, 28, 29, 89],Nomes: [Dev56, Dev28, Dev29, Dev89],Fit: [0.75, 0.75, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.18
Cromossomo: 6,IDs: [53, 16, 17, 62],Nomes: [Dev53, Dev16, Dev17, Dev62],Fit: [0.58, 0.58, 0.75, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.02
Cromossomo: 7,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 8,IDs: [45, 7, 27, 46],Nomes: [Dev45, Dev7, Dev27, Dev46],Fit: [0.75, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.33
Cromossomo: 9,IDs: [56, 28, 17, 62],Nomes: [Dev56, Dev28, Dev17, Dev62],Fit: [0.75, 0.75, 0.75, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.20
Cromossomo: 10,IDs: [55, 8, 38, 85],Nomes: [Dev55, Dev8, Dev38, Dev85],Fit: [0.75, 0.75, 0.83, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 11,IDs: [53, 16, 29, 89],Nomes: [Dev53, Dev16, Dev29, Dev89],Fit: [0.58, 0.58, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 12,IDs: [45, 7, 27, 46],Nomes: [Dev45, Dev7, Dev27, Dev46],Fit: [0.75, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.33
Cromossomo: 13,IDs: [56, 28, 38, 85],Nomes: [Dev56, Dev28, Dev38, Dev85],Fit: [0.75, 0.75, 0.83, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 14,IDs: [55, 8, 17, 62],Nomes: [Dev55, Dev8, Dev17, Dev62],Fit: [0.75, 0.75, 0.75, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 15,IDs: [104, 16, 65, 89],Nomes: [Dev104, Dev16, Dev65, Dev89],Fit: [0.58, 0.58, 0.58, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 16,IDs: [45, 7, 27, 46],Nomes: [Dev45, Dev7, Dev27, Dev46],Fit: [0.75, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.33
Cromossomo: 17,IDs: [104, 28, 38, 89],Nomes: [Dev104, Dev28, Dev38, Dev89],Fit: [0.58, 0.75, 0.83, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 18,IDs: [55, 97, 94, 62],Nomes: [Dev55, Dev97, Dev94, Dev62],Fit: [0.75, 0.75, 0.67, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 19,IDs: [56, 16, 65, 85],Nomes: [Dev56, Dev16, Dev65, Dev85],Fit: [0.75, 0.58, 0.58, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 20,IDs: [45, 7, 27, 46],Nomes: [Dev45, Dev7, Dev27, Dev46],Fit: [0.75, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.33
Cromossomo: 21,IDs: [55, 97, 38, 89],Nomes: [Dev55, Dev97, Dev38, Dev89],Fit: [0.75, 0.75, 0.83, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.25
Cromossomo: 22,IDs: [65, 47, 85, 8],Nomes: [Dev65, Dev47, Dev85, Dev8],Fit: [0.58, 0.83, 0.83, 0.75],Nível: [Senior, Junior, Master, Middle],Total Fit: 0.03
Cromossomo: 23,IDs: [104, 28, 94, 62],Nomes: [Dev104, Dev28, Dev94, Dev62],Fit: [0.58, 0.75, 0.67, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 24,IDs: [45, 7, 27, 46],Nomes: [Dev45, Dev7, Dev27, Dev46],Fit: [0.75, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.33
Cromossomo: 25,IDs: [82, 16, 29, 85],Nomes: [Dev82, Dev16, Dev29, Dev85],Fit: [0.75, 0.58, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.17
Cromossomo: 26,IDs: [104, 28, 38, 89],Nomes: [Dev104, Dev28, Dev38, Dev89],Fit: [0.58, 0.75, 0.83, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 27,IDs: [55, 97, 94, 62],Nomes: [Dev55, Dev97, Dev94, Dev62],Fit: [0.75, 0.75, 0.67, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 28,IDs: [45, 7, 27, 46],Nomes: [Dev45, Dev7, Dev27, Dev46],Fit: [0.75, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.33
Cromossomo: 29,IDs: [82, 28, 38, 85],Nomes: [Dev82, Dev28, Dev38, Dev85],Fit: [0.75, 0.75, 0.83, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 30,IDs: [47, 48, 17, 62],Nomes: [Dev47, Dev48, Dev17, Dev62],Fit: [0.83, 0.92, 0.75, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 31,IDs: [104, 16, 29, 89],Nomes: [Dev104, Dev16, Dev29, Dev89],Fit: [0.58, 0.58, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 32,IDs: [45, 7, 27, 46],Nomes: [Dev45, Dev7, Dev27, Dev46],Fit: [0.75, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.33
Cromossomo: 33,IDs: [47, 48, 29, 89],Nomes: [Dev47, Dev48, Dev29, Dev89],Fit: [0.83, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 34,IDs: [55, 97, 94, 85],Nomes: [Dev55, Dev97, Dev94, Dev85],Fit: [0.75, 0.75, 0.67, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 35,IDs: [247, 16, 17, 62],Nomes: [Dev247, Dev16, Dev17, Dev62],Fit: [0.75, 0.58, 0.75, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 36,IDs: [45, 7, 27, 46],Nomes: [Dev45, Dev7, Dev27, Dev46],Fit: [0.75, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.33
Cromossomo: 37,IDs: [56, 8, 65, 62],Nomes: [Dev56, Dev8, Dev65, Dev62],Fit: [0.75, 0.75, 0.58, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.16
Cromossomo: 38,IDs: [55, 48, 29, 85],Nomes: [Dev55, Dev48, Dev29, Dev85],Fit: [0.75, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 39,IDs: [47, 97, 94, 89],Nomes: [Dev47, Dev97, Dev94, Dev89],Fit: [0.83, 0.75, 0.67, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 40,IDs: [45, 7, 27, 46],Nomes: [Dev45, Dev7, Dev27, Dev46],Fit: [0.75, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.33
Cromossomo: 41,IDs: [56, 8, 94, 89],Nomes: [Dev56, Dev8, Dev94, Dev89],Fit: [0.75, 0.75, 0.67, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 42,IDs: [47, 97, 65, 62],Nomes: [Dev47, Dev97, Dev65, Dev62],Fit: [0.83, 0.75, 0.58, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 43,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 44,IDs: [45, 7, 27, 46],Nomes: [Dev45, Dev7, Dev27, Dev46],Fit: [0.75, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.33
Cromossomo: 45,IDs: [56, 8, 65, 62],Nomes: [Dev56, Dev8, Dev65, Dev62],Fit: [0.75, 0.75, 0.58, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.16
Cromossomo: 46,IDs: [81, 48, 17, 85],Nomes: [Dev81, Dev48, Dev17, Dev85],Fit: [0.83, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 47,IDs: [47, 97, 94, 89],Nomes: [Dev47, Dev97, Dev94, Dev89],Fit: [0.83, 0.75, 0.67, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 48,IDs: [45, 7, 27, 46],Nomes: [Dev45, Dev7, Dev27, Dev46],Fit: [0.75, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.33
Cromossomo: 49,IDs: [56, 8, 17, 85],Nomes: [Dev56, Dev8, Dev17, Dev85],Fit: [0.75, 0.75, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 50,IDs: [81, 48, 65, 62],Nomes: [Dev81, Dev48, Dev65, Dev62],Fit: [0.83, 0.92, 0.58, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 51,IDs: [47, 16, 94, 89],Nomes: [Dev47, Dev16, Dev94, Dev89],Fit: [0.83, 0.58, 0.67, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 52,IDs: [45, 7, 27, 46],Nomes: [Dev45, Dev7, Dev27, Dev46],Fit: [0.75, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.33
Cromossomo: 53,IDs: [55, 28, 65, 62],Nomes: [Dev55, Dev28, Dev65, Dev62],Fit: [0.75, 0.75, 0.58, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.13
Cromossomo: 54,IDs: [56, 8, 94, 89],Nomes: [Dev56, Dev8, Dev94, Dev89],Fit: [0.75, 0.75, 0.67, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 55,IDs: [47, 16, 17, 85],Nomes: [Dev47, Dev16, Dev17, Dev85],Fit: [0.83, 0.58, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 56,IDs: [45, 7, 27, 46],Nomes: [Dev45, Dev7, Dev27, Dev46],Fit: [0.75, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.33
Cromossomo: 57,IDs: [56, 28, 65, 89],Nomes: [Dev56, Dev28, Dev65, Dev89],Fit: [0.75, 0.75, 0.58, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.15
Cromossomo: 58,IDs: [81, 17, 16, 85],Nomes: [Dev81, Dev17, Dev16, Dev85],Fit: [0.83, 0.75, 0.58, 0.83],Nível: [Junior, Senior, Middle, Master],Total Fit: 0.03
Cromossomo: 59,IDs: [55, 8, 94, 62],Nomes: [Dev55, Dev8, Dev94, Dev62],Fit: [0.75, 0.75, 0.67, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 60,IDs: [45, 7, 27, 46],Nomes: [Dev45, Dev7, Dev27, Dev46],Fit: [0.75, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.33
Cromossomo: 61,IDs: [56, 28, 94, 62],Nomes: [Dev56, Dev28, Dev94, Dev62],Fit: [0.75, 0.75, 0.67, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.16
Cromossomo: 62,IDs: [47, 85, 16, 17],Nomes: [Dev47, Dev85, Dev16, Dev17],Fit: [0.83, 0.83, 0.58, 0.75],Nível: [Junior, Master, Middle, Senior],Total Fit: 0.03
Cromossomo: 63,IDs: [55, 8, 65, 89],Nomes: [Dev55, Dev8, Dev65, Dev89],Fit: [0.75, 0.75, 0.58, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 64,IDs: [45, 7, 27, 46],Nomes: [Dev45, Dev7, Dev27, Dev46],Fit: [0.75, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.33
Cromossomo: 65,IDs: [56, 28, 65, 89],Nomes: [Dev56, Dev28, Dev65, Dev89],Fit: [0.75, 0.75, 0.58, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.15
Cromossomo: 66,IDs: [55, 8, 94, 62],Nomes: [Dev55, Dev8, Dev94, Dev62],Fit: [0.75, 0.75, 0.67, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 67,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 68,IDs: [45, 7, 27, 46],Nomes: [Dev45, Dev7, Dev27, Dev46],Fit: [0.75, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.33
Cromossomo: 69,IDs: [55, 28, 65, 62],Nomes: [Dev55, Dev28, Dev65, Dev62],Fit: [0.75, 0.75, 0.58, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.13
Cromossomo: 70,IDs: [56, 8, 94, 89],Nomes: [Dev56, Dev8, Dev94, Dev89],Fit: [0.75, 0.75, 0.67, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 71,IDs: [53, 16, 17, 85],Nomes: [Dev53, Dev16, Dev17, Dev85],Fit: [0.58, 0.58, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 72,IDs: [45, 7, 27, 46],Nomes: [Dev45, Dev7, Dev27, Dev46],Fit: [0.75, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.33
Cromossomo: 73,IDs: [81, 48, 29, 89],Nomes: [Dev81, Dev48, Dev29, Dev89],Fit: [0.83, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 74,IDs: [55, 28, 17, 85],Nomes: [Dev55, Dev28, Dev17, Dev85],Fit: [0.75, 0.75, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 75,IDs: [53, 16, 65, 62],Nomes: [Dev53, Dev16, Dev65, Dev62],Fit: [0.58, 0.58, 0.58, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.02
Cromossomo: 76,IDs: [45, 7, 27, 46],Nomes: [Dev45, Dev7, Dev27, Dev46],Fit: [0.75, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.33
Cromossomo: 77,IDs: [81, 48, 17, 85],Nomes: [Dev81, Dev48, Dev17, Dev85],Fit: [0.83, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 78,IDs: [55, 28, 29, 89],Nomes: [Dev55, Dev28, Dev29, Dev89],Fit: [0.75, 0.75, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 79,IDs: [97, 94, 47, 62],Nomes: [Dev97, Dev94, Dev47, Dev62],Fit: [0.75, 0.67, 0.83, 0.58],Nível: [Middle, Senior, Junior, Master],Total Fit: 0.03
Cromossomo: 80,IDs: [45, 7, 27, 46],Nomes: [Dev45, Dev7, Dev27, Dev46],Fit: [0.75, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.33
Cromossomo: 81,IDs: [81, 48, 29, 89],Nomes: [Dev81, Dev48, Dev29, Dev89],Fit: [0.83, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 82,IDs: [55, 28, 17, 85],Nomes: [Dev55, Dev28, Dev17, Dev85],Fit: [0.75, 0.75, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 83,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 84,IDs: [45, 7, 27, 46],Nomes: [Dev45, Dev7, Dev27, Dev46],Fit: [0.75, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.33
Cromossomo: 85,IDs: [81, 48, 17, 85],Nomes: [Dev81, Dev48, Dev17, Dev85],Fit: [0.83, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 86,IDs: [55, 28, 29, 89],Nomes: [Dev55, Dev28, Dev29, Dev89],Fit: [0.75, 0.75, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 87,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 88,IDs: [53, 97, 38, 62],Nomes: [Dev53, Dev97, Dev38, Dev62],Fit: [0.58, 0.75, 0.83, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.41
Cromossomo: 89,IDs: [45, 7, 27, 46],Nomes: [Dev45, Dev7, Dev27, Dev46],Fit: [0.75, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.33
Cromossomo: 90,IDs: [55, 48, 17, 89],Nomes: [Dev55, Dev48, Dev17, Dev89],Fit: [0.75, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 91,IDs: [81, 28, 29, 85],Nomes: [Dev81, Dev28, Dev29, Dev85],Fit: [0.83, 0.75, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 92,IDs: [45, 7, 29, 85],Nomes: [Dev45, Dev7, Dev29, Dev85],Fit: [0.75, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.58
Cromossomo: 93,IDs: [53, 97, 38, 62],Nomes: [Dev53, Dev97, Dev38, Dev62],Fit: [0.58, 0.75, 0.83, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.41
Cromossomo: 94,IDs: [81, 28, 27, 46],Nomes: [Dev81, Dev28, Dev27, Dev46],Fit: [0.83, 0.75, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.32
Cromossomo: 95,IDs: [17, 89, 8, 55],Nomes: [Dev17, Dev89, Dev8, Dev55],Fit: [0.75, 0.83, 0.75, 0.75],Nível: [Senior, Master, Middle, Junior],Total Fit: 0.03
Cromossomo: 96,IDs: [45, 7, 29, 85],Nomes: [Dev45, Dev7, Dev29, Dev85],Fit: [0.75, 0.92, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.58
Cromossomo: 97,IDs: [53, 97, 27, 46],Nomes: [Dev53, Dev97, Dev27, Dev46],Fit: [0.58, 0.75, 0.75, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.47
Cromossomo: 98,IDs: [55, 48, 94, 89],Nomes: [Dev55, Dev48, Dev94, Dev89],Fit: [0.75, 0.92, 0.67, 0.83],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 99,IDs: [81, 28, 38, 62],Nomes: [Dev81, Dev28, Dev38, Dev62],Fit: [0.83, 0.75, 0.83, 0.58],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
