"1","SCRUM","2016-05-25","2017-03-10","","8, 144","genilson.martins, andre.muniz","IoT, iOS"
"3","SCRUM","2016-06-10","2018-08-31","","25, 211","ext-cael.gomes, artur.farias",""
"13","SCRUM","2016-04-01","2017-04-10","","77, 78, 81, 79, 83, 80, 82","mateus, rogerio.nobrega, adelito.farias, claudio.cardoso, diego.santos, jonhnanthan.oliveira, nattan.lucena","iOS, CSS, HTML, JavaScript, IOT"
"14","SCRUM","2016-04-01","2017-02-24","","85, 89, 198, 223, 397","wesley.herculano, bruno.brandao, samir.feitosa, andre.gois, romildo.freitas","Android, Java, Node.js, Mobile, Web"
"15","SCRUM","2016-04-01","2017-02-28","","93, 105, 107","diego.azevedo, bruno.nascimento, jefferson.araujo","Web, iOS"
"17","SCRUM","2016-05-30","2016-12-22","","92, 102, 101, 98","raissa.silva, lorena.maia, matheus.campos, arthur.freire","Linux, HTML, Desktop, Lua"
"18","SCRUM","2016-09-15","2017-03-01","","91, 99, 94, 96, 59","fred, wagner.leal, diego.bezerra, tales.gurjao, yuri.gomes",""
"19","SCRUM","2016-04-01","2017-03-24","","113, 114","ycaro.ratis, tales.satiro",""
"22","SCRUM","2016-11-01","2017-07-31","","130, 77, 81, 143, 145, 146, 214","mateus, diego.santos, bruno.figueiredo, gutemberg, jose.caitano, franklin.bastos, fabricio.melo","JavaScript, IOT, Web, iOS, RESTful APIs, JSON"
"23","SCRUM","2016-10-31","2017-05-31","","77, 134, 135","mateus, julio.silva, igor.morais","Mobile, RFID, IOT, Desktop, iOS, RESTful APIs, Linux, Spring Java"
"25","SCRUM","2016-09-01","2018-04-13","","132, 138, 140, 141, 142, 178, 216, 190, 292, 18","joao.vitorino, joao.albuquerque, diego.alan, tiago.nobrega, vinicius.macedo, rafael.araujo, arthur.navarro, vandhuy.martins, ext-bruno.souza, ext-rafael.araujo",""
"26","SCRUM","2016-06-01","2017-03-31","","132, 148, 149, 150, 151, 152, 153, 154, 155","abraao.santos, luiz.correa, ulysses.gomes, joao.vitorino, erick.costa, gabriella.alves, jorge.feitosa, francisco.medeiros, carlos.vieira",""
"29","SCRUM","2017-01-23","2018-01-31","","175, 177, 34","augusto.macedo, paul.monthaler, giovani.barbosa","RESTful APIs, Angular 2, JavaScript"
"30","SCRUM","2017-01-23","2018-01-31","","175, 177, 168","henrique.florencio, augusto.macedo, paul.monthaler",""
"32","SCRUM","2017-01-02","2017-10-31","","173, 90","francisco.barros, danilo.santos",""
"35","SCRUM","2017-02-15","2019-06-30","Linux Ubuntu, Chrome, Unit01","180, 391, 103, 130, 136","fabricio.epaminondas, walter.guerra, epx, gutemberg, leandro.silva",""
"36","SCRUM","2017-01-01","2018-02-28","","105, 193, 196, 195, 197, 93, 107","diego.azevedo, bruno.nascimento, francisco.alves, jefferson.araujo, odravison.amaral, jose.santos, george.lima","Web, iOS"
"37","SCRUM","2017-02-15","2017-08-31","","85, 198, 223, 89","wesley.herculano, bruno.brandao, samir.feitosa, andre.gois","Android, Java, Node.js, Mobile, Web"
"39","SCRUM","2017-03-01","2017-08-31","","89, 85, 198, 223, 397","wesley.herculano, bruno.brandao, samir.feitosa, andre.gois, romildo.freitas","Android, Java, Node.js, Mobile, Web"
"40","SCRUM","2017-03-13","2017-11-17","","103, 115, 56, 9, 188, 187, 194, 7, 240","bruno.clementino, fabricio.epaminondas, luma.nascimento, elizabeth.naressi, massoni, ruan.oliveira, heitor.lira, ext-thiago.sampaio, ext-daniel.souza","Web, IoT, iOS"
"41","SCRUM","2017-04-01","2018-03-31","","57, 74, 262, 261","adrian.guedes, leonardo.cordeiro, talles.gomes, kawe.araujo","IOT, Lua, iOS, Python"
"42","SCRUM","2017-03-20","2017-06-30","","149, 103, 217, 2","fabricio.epaminondas, erick.costa, franclis.silva, fernando.nascimento","Spring Java"
"44","SCRUM","2017-04-01","2017-10-31","","6, 5, 219, 218, 221, 220, 240, 243, 103","fabricio.epaminondas, daniel.abella, pamella.freitas, bruno.nepomuceno, atylla.santos, marcio.pereira, fabricia.silva, massoni, ext-silvia.azevedo",""
"45","SCRUM","2017-04-12","2019-12-31","Android 5.0, Android 6.0, Android 7.1, Android 8.1, iOS 10.3, Android, iOS","94, 248, 273, 33","wagner.leal, mauricio.correa, ext-beatriz.monreal, mailson.costa","Android, CouchDB, JavaScript, iOS"
"46","SCRUM","2017-04-01","2018-02-28","","144, 30, 229, 227, 226, 228, 132, 225","andre.muniz, joao.vitorino, Marsell.Senko, maria.henrique, deyvison.oliveira, josimar.almeida, isaac.santos, anne.moreira","IoT, iOS, Web, Mobile, JavaScript, Android"
"47","SCRUM","2017-04-01","2018-03-31","","50, 30, 225, 8, 236, 237, 234, 98, 235, 149","raissa.silva, jemerson.damasio, manoel.leite, genilson.martins, Marsell.Senko, pedro.mello, diego.pereira, anne.moreira, erick.costa, emiliano.oliveira","IoT, Web, Mobile, JavaScript, iOS, Android"
"48","SCRUM","2017-06-05","2017-12-31","","214, 146, 143, 77, 145, 81, 130, 79, 215, 217, 205, 133, 349","mateus, adelito.farias, diego.santos, marcos.guedes, fernando.nascimento, bruno.figueiredo, felipe.silva, gutemberg, jose.caitano, franklin.bastos, fabricio.melo, pedro.passos, gilles.henriques","iOS, JavaScript, IOT, Desktop, Linux, RFID, MongoDB, Web, RESTful APIs, JSON"
"49","SCRUM","2017-07-01","2018-03-31","","65, 57, 67","adrian.guedes, renan.silva, thalita.goncalves","IOT, Lua, RESTful APIs, C++, iOS, Java"
"50","SCRUM","2017-07-18","2018-01-31","","168, 175, 63, 263","henrique.florencio, augusto.macedo, diego.ferreira, italo.lins","Lua, IOT, Java"
"51","SCRUM","2017-08-29","2019-02-28","","175, 168, 222","henrique.florencio, augusto.macedo, normando.carvalho",""
"52","SCRUM","2017-10-01","2018-01-30","","148, 155, 152, 77","mateus, abraao.santos, luiz.correa, ulysses.gomes",""
"53","SCRUM","2017-10-16","2018-08-31","","89, 223, 198, 85, 3, 327, 331, 397","rodrigo, wesley.herculano, vitruvio.alencar, bruno.brandao, samir.feitosa, andre.gois, ext-raul.simoes, romildo.freitas","Android, Java, Node.js, Mobile, Web"
"54","SCRUM","2017-10-16","2018-08-31","","85, 89, 223, 198, 397","wesley.herculano, bruno.brandao, samir.feitosa, andre.gois, romildo.freitas","Android, Java, Node.js, Mobile, Web"
"55","SCRUM","2017-10-16","2018-08-31","","223, 85, 89, 198, 3, 327","rodrigo, wesley.herculano, vitruvio.alencar, bruno.brandao, samir.feitosa, andre.gois","Android, Java, Node.js, Mobile, Web"
"57","SCRUM","2017-11-08","2018-11-30","","194, 115, 5, 305","elizabeth.naressi, daniel.abella, heitor.lira, arthur.araujo",""
"59","SCRUM","2018-01-01","2018-05-31","","271, 174","berg.elisson, renan.barbosa",""
"60","SCRUM","2017-01-01","2017-05-31","","77, 214, 143, 146, 145, 81","mateus, diego.santos, bruno.figueiredo, jose.caitano, franklin.bastos, fabricio.melo","JavaScript, IOT, Web, iOS, RESTful APIs, JSON"
"61","SCRUM","2018-01-29","2018-09-30","Browser: Google Chrome, Browser: Microsoft Edge, Browser: Mozilla Firefox, ServerStack-XenServer, ServerStack-FusionCompute, ServerStack-VMWare, ServerStack-Hyper-V","274, 281, 288, 148, 302, 301, 303, 289","abraao.santos, gervasio.assis, diogo.miranda, marcelo.sousa, diana.silva, henrique.ribeiro, eduardo.moura, elyervesson.pereira",""
"62","SCRUM","2018-01-31","2018-11-30","","177, 168, 73","henrique.florencio, paul.monthaler, rafael.santos","JavaScript, Python, iOS"
"63","SCRUM","2018-01-31","2018-11-30","","168, 63, 297, 263","henrique.florencio, diego.ferreira, italo.lins, dimitre.oliveira","Lua, IOT, Java"
"64","SCRUM","2018-01-31","2018-11-30","","168, 263, 73, 34","henrique.florencio, giovani.barbosa, italo.lins, rafael.santos","RESTful APIs, Angular 2, JavaScript, Python, iOS"
"65","SCRUM","2018-01-29","2018-09-30","Windows, Linux","3, 148, 119, 155, 152, 274","rodrigo, abraao.santos, luiz.correa, ulysses.gomes, Leonardo.Santos, marcelo.sousa",""
"66","SCRUM","2018-03-01","2019-03-31","Browser: Firefox 61.0.1, Browser: Chrome 67.0.3396.99","93, 105, 196, 195, 193, 107, 291, 328, 340","diego.azevedo, bruno.nascimento, francisco.alves, nathane.silva, jefferson.araujo, bianca.furtado, jose.santos, george.lima, vinicius.queiroz","Web, iOS"
"67","SCRUM","2018-02-01","2018-08-31","","3, 211, 71, 38","rodrigo, artur.farias, fagner.martins, caio.barbosa","RESTful APIs, iOS, JavaScript, Python, HTML, IOT"
"68","SCRUM","2018-03-05","2019-08-31","/*teste*/, ProvaDeConceito, Sistema Integrado","77, 282, 286, 285, 81, 214, 145, 143, 146, 317, 316, 370, 394, 391","mateus, diego.santos, igor.silva, sydeney.araujo, yago.silva, luan.balbino, bruno.figueiredo, jose.caitano, franklin.bastos, fabricio.melo, sarah.albuquerque, gabriel.rodrigues, ana.melo, leandro.silva","JavaScript, IOT, Web, iOS, RESTful APIs, JSON"
"69","SCRUM","2018-03-05","2019-07-31","Windows 10 - 64 bits","77, 282, 81, 214, 145, 143, 316, 317, 104, 286, 394, 285, 353, 391","mateus, diego.santos, naylla.estrela, thiago.xavier, igor.silva, yago.silva, luan.balbino, jose.caitano, franklin.bastos, fabricio.melo, sarah.albuquerque, gabriel.rodrigues, ana.melo, leandro.silva","JavaScript, IOT, iOS, RESTful APIs, JSON"
"70","SCRUM","2018-03-01","2018-12-31","","173, 90, 165","francisco.barros, guilherme.neves, danilo.santos","MongoDB, iOS"
"71","SCRUM","2018-04-01","2019-02-28","StackV1","236, 235, 229, 226, 228, 290, 227, 142, 292, 225, 323, 320, 322, 321, 137, 13, 400, 53, 300, 446, 209","amanda.fabricio, Marsell.Senko, luiz.escorel, maria.henrique, pedro.mello, diego.pereira, deyvison.oliveira, josimar.almeida, isaac.santos, diego.alan, rafael.araujo, ext-hoshino, ext-laercio.asano, ext-ericson.fonseca, ext-evelyn.morishita, bruno.santos, pedro.henriques, ana.silva, emanuel.dantas, bruno.dutra, Renata.Saraiva","Mobile, JavaScript, IoT, iOS"
"72","SCRUM","2018-02-01","2019-11-30","Moverio","5, 46, 27, 324, 395, 411, 363, 482, 500, 293","filipe.ramos, aristotenes.vilar, daniel.abella, gustavo.pires, ermeson.nobrega, francisco.favaro, paulo.menezes, luciano.reul, Guthyelvis.Xavier, Lourival.Bonfim","Web, JavaScript, Android"
"73","SCRUM","2018-04-01","2018-11-30","Browser: Chrome 67, ServerStackV1, Browser: Firefox 61","38, 71, 281, 191, 294, 295, 211, 300, 53, 161, 208, 372","amanda.fabricio, artur.farias, ana.silva, fagner.martins, jose.antonio, ext-afonso.moreira, caio.barbosa, diogo.miranda, ext-jose.rosa, ext-bernardes, vladwoguer.bezerra, felipe.ramos","Mobile, JavaScript, RESTful APIs, iOS, Python, HTML, IOT"
"75","SCRUM","2018-04-01","2018-12-31","","222, 176, 239, 238, 3, 94, 299","rodrigo, wagner.leal, lucas.medeiros, normando.carvalho, felipe.medeiros, jose.albuquerque, Nathan.Barreto",""
"76","SCRUM","2018-04-01","2019-03-31","","57, 65, 74, 67, 261","adrian.guedes, renan.silva, thalita.goncalves, leonardo.cordeiro, talles.gomes","IOT, Lua, RESTful APIs, C++, iOS, Java, Python"
"77","SCRUM","2018-04-01","2019-03-31","","57, 262, 67","adrian.guedes, thalita.goncalves, kawe.araujo","IOT, Lua"
"78","SCRUM","2018-03-01","2019-04-30","","132, 138, 142, 292, 178, 141, 216, 140, 18","joao.vitorino, joao.albuquerque, diego.alan, tiago.nobrega, vinicius.macedo, rafael.araujo, arthur.navarro, vandhuy.martins, ext-bruno.souza",""
"79","SCRUM","2018-05-01","2020-02-28","StackV1","290, 140, 138, 142, 228, 229, 178, 137, 356, 355, 382, 400, 454, 446, 435, 50","jemerson.damasio, luiz.escorel, deyvison.oliveira, josimar.almeida, joao.albuquerque, diego.alan, tiago.nobrega, vinicius.macedo, bruno.santos, patrick.azevedo, catarina.silva, matheus.silva, emanuel.dantas, ewerton.silva, bruno.dutra, Aline.Costa",""
"80","SCRUM","2018-02-01","2019-11-30","Browser Chrome, Browser Firefox, Android, Browser Chrome do Android","5, 46, 308, 242, 326, 27, 324, 220, 411, 363, 482, 357, 495, 500, 293","filipe.ramos, aristotenes.vilar, daniel.abella, marcio.pereira, danilo.coutinho, gustavo.pires, ermeson.nobrega, francisco.favaro, paulo.menezes, vinicius.silva, pablo.santos, Antonio.Neto, Guthyelvis.Xavier, João.Bezerra, Lourival.Bonfim","Web, JavaScript, Android"
"83","SCRUM","2018-01-02","2019-03-29","","18, 113, 56, 350, 351, 200, 114","bruno.clementino, arthur.navarro, ycaro.ratis, catharine.bezerra, tales.satiro, ahemenson.cavalcante, dandara.navarro","Web"
"84","SCRUM","2018-07-02","2019-08-31","iOS (stack v1), iOS (stack v2), iOS (stack v3), iOS (stack v4), Android (stack v1)","3, 85, 89, 198, 327, 223, 330, 332, 331, 373, 384, 397","rodrigo, wesley.herculano, vitruvio.alencar, bruno.brandao, samir.feitosa, andre.gois, ext-adriano.martins, ext-raul.simoes, ext-alex.lima, ext-cristiano, ext-diego.artur, romildo.freitas","Android, Java, Node.js, Mobile, Web"
"86","SCRUM","2018-07-01","2019-06-30","Browser: Chrome, Browser: Firefox","93, 2, 333, 211, 48, 340, 193, 291, 383","artur.farias, francisco.alves, nathane.silva, jefferson.araujo, bianca.furtado, franclis.silva, cristal.mazamba, felipe.belo, marcelo.brito","Spring Java, IoT"
"88","SCRUM","2018-06-01","2019-03-31","","271, 174, 343, 344, 342, 345, 387, 388, 403","berg.elisson, renan.barbosa, ext-leonardo.salgado, ext-gustavo, ext-leandro.biajante, ext-alexandre, gabriel.lemos, ext-suzane.vianna, ext-rafael.souza",""
"89","SCRUM","2018-07-01","2019-12-31","Navegador Firefox, Navegador Chrome","93, 105, 197, 366, 97, 193, 291","paulo.lira, diego.azevedo, francisco.alves, nathane.silva, jefferson.araujo, odravison.amaral, eline.macedo",""
"90","SCRUM","2018-07-24","2019-08-31","","281, 301, 84, 289, 288, 303","gervasio.assis, diogo.miranda, diana.silva, henrique.ribeiro, elyervesson.pereira, jota.freitas","Maven Java"
"92","SCRUM","2018-07-01","2019-01-31","Browser: Chrome 68, [Android] App mobile - v2.0.0, Stack 01","225, 8, 144, 137, 290, 142, 53, 300, 229, 228, 292","amanda.fabricio, genilson.martins, andre.muniz, Marsell.Senko, luiz.escorel, deyvison.oliveira, josimar.almeida, diego.alan, rafael.araujo, bruno.santos, ana.silva","Mobile, JavaScript, IoT, iOS"
"93","SCRUM","2018-04-23","2019-10-18","FenixRobot","282, 335, 336, 372, 370, 316, 317, 423, 458, 285, 44, 392","renato.ramiro, igor.silva, felipe.nascimento, Newton.fonseca, jose.antonio, sydeney.araujo, yago.silva, luan.balbino, camila.silva, fernando.vita, sarah.albuquerque, Bruno.Arruda","IOT, iOS"
"94","SCRUM","2018-08-01","2019-03-31","Windows 10 - 64 bits, Windows 10 - 32 bits","77, 146, 205, 143, 133, 349, 104, 154, 365, 353","mateus, naylla.estrela, marcos.guedes, thiago.xavier, felipe.felix, bruno.figueiredo, carlos.vieira, felipe.silva, jose.caitano, pedro.passos","Desktop, Linux, RFID, MongoDB, Web"
"97","SCRUM","2018-09-17","2018-10-19","","281, 71, 354, 361","caio.barbosa, diogo.miranda, antonio.queiroz, ext-regina.caixeta","JavaScript, Python, HTML, RESTful APIs, iOS, IOT"
"98","SCRUM","2018-09-18","2018-12-31","","38, 119, 270, 152, 358","ulysses.gomes, mendelssohn.sa, gessica.silva, fagner.martins, Leonardo.Santos","RESTful APIs, iOS"
"99","SCRUM","2018-09-24","2018-11-29","","5, 359, 360, 115, 305, 194, 369, 363, 27, 183, 181","filipe.ramos, elizabeth.naressi, pedro.medeiros, victor.batista, daniel.abella, heitor.lira, elyfran.medeiros, ermeson.nobrega, arthur.araujo, magno.dantas, wemerson.porto","Web, JavaScript"
"100","SCRUM","2018-10-01","2019-04-17","","18, 102, 367, 16, 28, 45","geraldo.lima, israel.cunha, arthur.navarro, arkjoaquitonyo, matheus.campos, marcos.leite","iOS, MongoDB"
"101","SCRUM","2018-11-05","2019-09-06","","354, 71, 169, 281, 386, 481","caio.barbosa, diogo.miranda, jordan.nunes, antonio.queiroz, leandro.marinho, Karam.Takieddine","JavaScript, Python, HTML, RESTful APIs, iOS, IOT"
"104","SCRUM","2019-02-01","2019-11-29","Stack 01","8, 144, 13, 137, 142, 400, 228, 229, 446","genilson.martins, andre.muniz, deyvison.oliveira, josimar.almeida, diego.alan, bruno.santos, pedro.henriques, emanuel.dantas, bruno.dutra","IoT, iOS"
"105","SCRUM","2019-02-01","2019-08-31","Windows 10 - 64bits, Linux OS, Android, Browser: Google Chrome, Windows 10 - 64bits - Internet Explorer 11, Windows 10 - 64bits - Chrome 74, Windows 10 - 32bits - Internet Explorer 11, Windows 8.1 - 64bits - Internet Explorer 11, Windows 8.1 - 32bits - Internet Explorer 11, Windows 7 - 32bits - Internet Explorer 11","77, 44, 353, 250, 202, 399, 398, 362, 349, 282, 145, 143, 154, 205, 79, 508","mateus, adelito.farias, marcelo.fernandes, renato.ramiro, wendley.franca, naylla.estrela, robson.sousa, tony.cavalcanti, igor.silva, joao.matos, carlos.vieira, felipe.silva, jose.caitano, franklin.bastos, pedro.passos, Rafael.Ramos","iOS, IOT, RESTful APIs, JavaScript, JSON"
"106","SCRUM","2019-02-04","2021-06-30","Web - Chrome, Android, Web - Firefox","241, 62, 82, 401, 402, 200, 56, 441, 445, 524, 283, 491, 484, 7, 477, 270, 351, 29","jonhnanthan.oliveira, bruno.clementino, edney.oliveira, antonio.dantas, luma.nascimento, catharine.bezerra, ahemenson.cavalcante, gessica.silva, gilmar.batista, augusto.oliveira, matheus.barbosa, ext-alef.oliveira, emilayne.corlett, bruno.winkeler, Thales.Souto, John.Lima, Waldemar.Coimbra, Ted.Medeiros","Web, iOS, MongoDB"
"107","SCRUM","2019-02-01","2019-12-31","Windows, Ubuntu18.04, Fedora30","94, 348, 209","wagner.leal, joao.antonio, Renata.Saraiva",""
"108","SCRUM","2019-02-01","2019-07-31","","77, 282, 399, 349, 398, 353, 362, 44, 250, 202, 205, 154","mateus, marcelo.fernandes, renato.ramiro, wendley.franca, naylla.estrela, robson.sousa, tony.cavalcanti, igor.silva, joao.matos, carlos.vieira, felipe.silva, pedro.passos","IOT, iOS"
"109","SCRUM","2019-03-01","2020-04-30","StackV1","236, 227, 226, 235, 229, 228, 225, 435, 50","jemerson.damasio, Marsell.Senko, maria.henrique, pedro.mello, diego.pereira, deyvison.oliveira, josimar.almeida, isaac.santos, ewerton.silva",""
"111","SCRUM","2019-02-01","2021-03-31","Chrome 72.0, Chrome 75.0, Chrome 77.0, Chrome 78.0","222, 420, 421, 247","emilio.farias, normando.carvalho, diogo.lima, jonatah.braz",""
"112","SCRUM","2019-02-01","2019-12-31","Browser: Chrome 74.0.3729.108, Browser: Firefox 66.0.5, Browser: Microsoft Edge 44.17763.1.0, Browser: Internet Explorer 11.437.17763.0, Browser: Safari 5.1.7, Electron, Desktop","222, 7, 211","luma.nascimento, artur.farias, normando.carvalho",""
"113","SCRUM","2019-01-01","2019-12-31","Linux - Firefox, Linux - Chrome, Windows - Firefox, Windows - Chrome","291, 38, 119, 152, 161, 366, 197, 209, 53, 97","paulo.lira, amanda.fabricio, nathane.silva, ulysses.gomes, odravison.amaral, eline.macedo, fagner.martins, Leonardo.Santos, vladwoguer.bezerra, Renata.Saraiva","Mobile, JavaScript, RESTful APIs, iOS"
"114","SCRUM","2018-12-01","2019-12-31","Browser: Chrome (75+), Browser: Firefox (69+), Browser: Microsoft Edge, Browser: Apple Safari, ONU 110 B (1.0-190918), ONT 142 NW (version com pach), ONT 121 W (version com pach), Chrome (75+)/ Firefox (69+)","180, 161, 53, 389, 392, 390, 336, 434, 439, 136, 391, 291, 119, 472","amanda.fabricio, nathane.silva, Leonardo.Santos, Newton.fonseca, vladwoguer.bezerra, walter.guerra, fabiano.miranda, fernando.vita, jose.nascimento, ext-denis.fernandes, Anderson.pereira, epx, leandro.silva, Galileu.Araújo","Mobile, JavaScript"
"115","SCRUM","2019-04-01","2020-04-30","Android 9, Android 8, Android 7, Android 5","16, 45, 367, 18, 351, 494, 174, 374, 183, 387","giuan.araujo, geraldo.lima, israel.cunha, arthur.navarro, arkjoaquitonyo, catharine.bezerra, victor.batista, renan.barbosa, gabriel.lemos, Lucas.Furtado","iOS"
"117","SCRUM","2019-04-01","2020-07-03","ATE (Emulator), ATE (TV)","57, 262, 67, 65, 476, 522","adrian.guedes, renan.silva, thalita.goncalves, kawe.araujo, Dênnis.Sousa, Andreza.Queiroz","IOT, Lua, RESTful APIs, C++, iOS, Java"
