Cromossomo: 0,IDs: [45, 7, 29, 198],Nomes: [Dev45, Dev7, Dev29, Dev198],Fit: [0.88, 0.88, 0.69, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.44
Cromossomo: 1,IDs: [82, 28, 65, 402],Nomes: [Dev82, Dev28, Dev65, Dev402],Fit: [0.81, 0.69, 0.69, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.37
Cromossomo: 2,IDs: [56, 38, 85, 283],Nomes: [Dev56, Dev38, Dev85, Dev283],Fit: [0.69, 0.88, 0.75, 0],Nível: [Junior, Senior, Master, Middle],Total Fit: 0.14
Cromossomo: 3,IDs: [47, 48, 17, 89],Nomes: [Dev47, Dev48, Dev17, Dev89],Fit: [0.88, 0.88, 0.81, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 4,IDs: [16, 46, 94, 104],Nomes: [Dev16, Dev46, Dev94, Dev104],Fit: [0.63, 0.75, 0.75, 0.75],Nível: [Middle, Master, Senior, Junior],Total Fit: 0.03
Cromossomo: 5,IDs: [8, 81, 27, 62],Nomes: [Dev8, Dev81, Dev27, Dev62],Fit: [0.75, 0.75, 0.75, 0.63],Nível: [Middle, Junior, Senior, Master],Total Fit: 0.03
Cromossomo: 6,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 7,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 8,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 9,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 10,IDs: [45, 7, 29, 198],Nomes: [Dev45, Dev7, Dev29, Dev198],Fit: [0.88, 0.88, 0.69, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.44
Cromossomo: 11,IDs: [82, 28, 17, 89],Nomes: [Dev82, Dev28, Dev17, Dev89],Fit: [0.81, 0.69, 0.81, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 12,IDs: [53, 8, 27, 85],Nomes: [Dev53, Dev8, Dev27, Dev85],Fit: [0.81, 0.75, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 13,IDs: [47, 48, 65, 402],Nomes: [Dev47, Dev48, Dev65, Dev402],Fit: [0.88, 0.88, 0.69, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.02
Cromossomo: 14,IDs: [45, 7, 29, 198],Nomes: [Dev45, Dev7, Dev29, Dev198],Fit: [0.88, 0.88, 0.69, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.44
Cromossomo: 15,IDs: [104, 97, 38, 46],Nomes: [Dev104, Dev97, Dev38, Dev46],Fit: [0.75, 0.81, 0.88, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.26
Cromossomo: 16,IDs: [47, 48, 27, 85],Nomes: [Dev47, Dev48, Dev27, Dev85],Fit: [0.88, 0.88, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.13
Cromossomo: 17,IDs: [53, 8, 65, 402],Nomes: [Dev53, Dev8, Dev65, Dev402],Fit: [0.81, 0.75, 0.69, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.02
Cromossomo: 18,IDs: [45, 7, 29, 198],Nomes: [Dev45, Dev7, Dev29, Dev198],Fit: [0.88, 0.88, 0.69, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.44
Cromossomo: 19,IDs: [47, 97, 38, 46],Nomes: [Dev47, Dev97, Dev38, Dev46],Fit: [0.88, 0.81, 0.88, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.27
Cromossomo: 20,IDs: [104, 48, 27, 85],Nomes: [Dev104, Dev48, Dev27, Dev85],Fit: [0.75, 0.88, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.13
Cromossomo: 21,IDs: [8, 62, 17, 55],Nomes: [Dev8, Dev62, Dev17, Dev55],Fit: [0.75, 0.63, 0.81, 0.69],Nível: [Middle, Master, Senior, Junior],Total Fit: 0.03
Cromossomo: 22,IDs: [45, 7, 29, 198],Nomes: [Dev45, Dev7, Dev29, Dev198],Fit: [0.88, 0.88, 0.69, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.44
Cromossomo: 23,IDs: [104, 48, 38, 46],Nomes: [Dev104, Dev48, Dev38, Dev46],Fit: [0.75, 0.88, 0.88, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 24,IDs: [47, 97, 27, 85],Nomes: [Dev47, Dev97, Dev27, Dev85],Fit: [0.88, 0.81, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 25,IDs: [81, 28, 94, 89],Nomes: [Dev81, Dev28, Dev94, Dev89],Fit: [0.75, 0.69, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 26,IDs: [45, 7, 29, 198],Nomes: [Dev45, Dev7, Dev29, Dev198],Fit: [0.88, 0.88, 0.69, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.44
Cromossomo: 27,IDs: [53, 48, 17, 85],Nomes: [Dev53, Dev48, Dev17, Dev85],Fit: [0.81, 0.88, 0.81, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 28,IDs: [47, 28, 94, 89],Nomes: [Dev47, Dev28, Dev94, Dev89],Fit: [0.88, 0.69, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 29,IDs: [81, 97, 27, 136],Nomes: [Dev81, Dev97, Dev27, Dev136],Fit: [0.75, 0.81, 0.75, 0.69],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 30,IDs: [45, 7, 29, 198],Nomes: [Dev45, Dev7, Dev29, Dev198],Fit: [0.88, 0.88, 0.69, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.44
Cromossomo: 31,IDs: [56, 8, 65, 62],Nomes: [Dev56, Dev8, Dev65, Dev62],Fit: [0.69, 0.75, 0.69, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.17
Cromossomo: 32,IDs: [47, 48, 17, 85],Nomes: [Dev47, Dev48, Dev17, Dev85],Fit: [0.88, 0.88, 0.81, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 33,IDs: [53, 28, 94, 89],Nomes: [Dev53, Dev28, Dev94, Dev89],Fit: [0.81, 0.69, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 34,IDs: [45, 7, 29, 198],Nomes: [Dev45, Dev7, Dev29, Dev198],Fit: [0.88, 0.88, 0.69, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.44
Cromossomo: 35,IDs: [104, 48, 27, 85],Nomes: [Dev104, Dev48, Dev27, Dev85],Fit: [0.75, 0.88, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.13
Cromossomo: 36,IDs: [56, 28, 94, 89],Nomes: [Dev56, Dev28, Dev94, Dev89],Fit: [0.69, 0.69, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 37,IDs: [53, 8, 65, 62],Nomes: [Dev53, Dev8, Dev65, Dev62],Fit: [0.81, 0.75, 0.69, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 38,IDs: [45, 7, 29, 198],Nomes: [Dev45, Dev7, Dev29, Dev198],Fit: [0.88, 0.88, 0.69, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.44
Cromossomo: 39,IDs: [56, 48, 27, 85],Nomes: [Dev56, Dev48, Dev27, Dev85],Fit: [0.69, 0.88, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.12
Cromossomo: 40,IDs: [16, 62, 47, 38],Nomes: [Dev16, Dev62, Dev47, Dev38],Fit: [0.63, 0.63, 0.88, 0.88],Nível: [Middle, Master, Junior, Senior],Total Fit: 0.03
Cromossomo: 41,IDs: [104, 28, 94, 89],Nomes: [Dev104, Dev28, Dev94, Dev89],Fit: [0.75, 0.69, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 42,IDs: [45, 7, 29, 198],Nomes: [Dev45, Dev7, Dev29, Dev198],Fit: [0.88, 0.88, 0.69, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.44
Cromossomo: 43,IDs: [56, 48, 94, 89],Nomes: [Dev56, Dev48, Dev94, Dev89],Fit: [0.69, 0.88, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 44,IDs: [104, 28, 27, 85],Nomes: [Dev104, Dev28, Dev27, Dev85],Fit: [0.75, 0.69, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 45,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 46,IDs: [45, 7, 29, 198],Nomes: [Dev45, Dev7, Dev29, Dev198],Fit: [0.88, 0.88, 0.69, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.44
Cromossomo: 47,IDs: [104, 48, 94, 89],Nomes: [Dev104, Dev48, Dev94, Dev89],Fit: [0.75, 0.88, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 48,IDs: [56, 28, 27, 85],Nomes: [Dev56, Dev28, Dev27, Dev85],Fit: [0.69, 0.69, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 49,IDs: [8, 65, 46, 55],Nomes: [Dev8, Dev65, Dev46, Dev55],Fit: [0.75, 0.69, 0.75, 0.69],Nível: [Middle, Senior, Master, Junior],Total Fit: 0.03
Cromossomo: 50,IDs: [45, 7, 29, 198],Nomes: [Dev45, Dev7, Dev29, Dev198],Fit: [0.88, 0.88, 0.69, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.44
Cromossomo: 51,IDs: [104, 48, 27, 85],Nomes: [Dev104, Dev48, Dev27, Dev85],Fit: [0.75, 0.88, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.13
Cromossomo: 52,IDs: [56, 28, 94, 89],Nomes: [Dev56, Dev28, Dev94, Dev89],Fit: [0.69, 0.69, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 53,IDs: [53, 8, 62, 65],Nomes: [Dev53, Dev8, Dev62, Dev65],Fit: [0.81, 0.75, 0.63, 0.69],Nível: [Junior, Middle, Master, Senior],Total Fit: 0.03
Cromossomo: 54,IDs: [45, 7, 29, 198],Nomes: [Dev45, Dev7, Dev29, Dev198],Fit: [0.88, 0.88, 0.69, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.44
Cromossomo: 55,IDs: [56, 48, 27, 85],Nomes: [Dev56, Dev48, Dev27, Dev85],Fit: [0.69, 0.88, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.12
Cromossomo: 56,IDs: [81, 16, 38, 46],Nomes: [Dev81, Dev16, Dev38, Dev46],Fit: [0.75, 0.63, 0.88, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 57,IDs: [104, 28, 94, 89],Nomes: [Dev104, Dev28, Dev94, Dev89],Fit: [0.75, 0.69, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 58,IDs: [45, 7, 29, 198],Nomes: [Dev45, Dev7, Dev29, Dev198],Fit: [0.88, 0.88, 0.69, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.44
Cromossomo: 59,IDs: [53, 48, 65, 85],Nomes: [Dev53, Dev48, Dev65, Dev85],Fit: [0.81, 0.88, 0.69, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 60,IDs: [104, 16, 38, 46],Nomes: [Dev104, Dev16, Dev38, Dev46],Fit: [0.75, 0.63, 0.88, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 61,IDs: [81, 28, 94, 89],Nomes: [Dev81, Dev28, Dev94, Dev89],Fit: [0.75, 0.69, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 62,IDs: [45, 7, 29, 198],Nomes: [Dev45, Dev7, Dev29, Dev198],Fit: [0.88, 0.88, 0.69, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.44
Cromossomo: 63,IDs: [47, 16, 27, 62],Nomes: [Dev47, Dev16, Dev27, Dev62],Fit: [0.88, 0.63, 0.75, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.14
Cromossomo: 64,IDs: [81, 48, 65, 85],Nomes: [Dev81, Dev48, Dev65, Dev85],Fit: [0.75, 0.88, 0.69, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 65,IDs: [53, 28, 94, 89],Nomes: [Dev53, Dev28, Dev94, Dev89],Fit: [0.81, 0.69, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 66,IDs: [45, 7, 29, 198],Nomes: [Dev45, Dev7, Dev29, Dev198],Fit: [0.88, 0.88, 0.69, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.44
Cromossomo: 67,IDs: [53, 16, 27, 62],Nomes: [Dev53, Dev16, Dev27, Dev62],Fit: [0.81, 0.63, 0.75, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.14
Cromossomo: 68,IDs: [47, 28, 94, 89],Nomes: [Dev47, Dev28, Dev94, Dev89],Fit: [0.88, 0.69, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 69,IDs: [],Nomes: [],Fit: [],Nível: [],Total Fit: 0.00
Cromossomo: 70,IDs: [45, 7, 29, 198],Nomes: [Dev45, Dev7, Dev29, Dev198],Fit: [0.88, 0.88, 0.69, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.44
Cromossomo: 71,IDs: [55, 48, 17, 46],Nomes: [Dev55, Dev48, Dev17, Dev46],Fit: [0.69, 0.88, 0.81, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 72,IDs: [47, 28, 27, 62],Nomes: [Dev47, Dev28, Dev27, Dev62],Fit: [0.88, 0.69, 0.75, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 73,IDs: [53, 16, 94, 89],Nomes: [Dev53, Dev16, Dev94, Dev89],Fit: [0.81, 0.63, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 74,IDs: [45, 7, 29, 198],Nomes: [Dev45, Dev7, Dev29, Dev198],Fit: [0.88, 0.88, 0.69, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.44
Cromossomo: 75,IDs: [47, 48, 17, 46],Nomes: [Dev47, Dev48, Dev17, Dev46],Fit: [0.88, 0.88, 0.81, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 76,IDs: [55, 28, 27, 62],Nomes: [Dev55, Dev28, Dev27, Dev62],Fit: [0.69, 0.69, 0.75, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 77,IDs: [56, 16, 65, 85],Nomes: [Dev56, Dev16, Dev65, Dev85],Fit: [0.69, 0.63, 0.69, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 78,IDs: [45, 7, 29, 198],Nomes: [Dev45, Dev7, Dev29, Dev198],Fit: [0.88, 0.88, 0.69, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.44
Cromossomo: 79,IDs: [47, 8, 65, 85],Nomes: [Dev47, Dev8, Dev65, Dev85],Fit: [0.88, 0.69, 0.69, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 80,IDs: [81, 48, 94, 62],Nomes: [Dev81, Dev48, Dev94, Dev62],Fit: [0.75, 0.88, 0.75, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 81,IDs: [56, 16, 17, 46],Nomes: [Dev56, Dev16, Dev17, Dev46],Fit: [0.69, 0.63, 0.81, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 82,IDs: [45, 7, 29, 198],Nomes: [Dev45, Dev7, Dev29, Dev198],Fit: [0.88, 0.88, 0.69, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.44
Cromossomo: 83,IDs: [81, 48, 17, 46],Nomes: [Dev81, Dev48, Dev17, Dev46],Fit: [0.75, 0.88, 0.81, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 84,IDs: [56, 16, 94, 46],Nomes: [Dev56, Dev16, Dev94, Dev46],Fit: [0.69, 0.63, 0.75, 0.88],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 85,IDs: [53, 97, 65, 62],Nomes: [Dev53, Dev97, Dev65, Dev62],Fit: [0.81, 0.81, 0.69, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 86,IDs: [45, 7, 29, 198],Nomes: [Dev45, Dev7, Dev29, Dev198],Fit: [0.88, 0.88, 0.69, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.44
Cromossomo: 87,IDs: [53, 97, 94, 46],Nomes: [Dev53, Dev97, Dev94, Dev46],Fit: [0.81, 0.81, 0.75, 0.88],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.20
Cromossomo: 88,IDs: [56, 16, 65, 62],Nomes: [Dev56, Dev16, Dev65, Dev62],Fit: [0.69, 0.63, 0.69, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.16
Cromossomo: 89,IDs: [48, 81, 38, 85],Nomes: [Dev48, Dev81, Dev38, Dev85],Fit: [0.88, 0.75, 0.88, 0.75],Nível: [Middle, Junior, Senior, Master],Total Fit: 0.03
Cromossomo: 90,IDs: [45, 7, 29, 198],Nomes: [Dev45, Dev7, Dev29, Dev198],Fit: [0.88, 0.88, 0.69, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.44
Cromossomo: 91,IDs: [56, 97, 94, 46],Nomes: [Dev56, Dev97, Dev94, Dev46],Fit: [0.69, 0.81, 0.75, 0.88],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 92,IDs: [104, 28, 27, 85],Nomes: [Dev104, Dev28, Dev27, Dev85],Fit: [0.75, 0.69, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 93,IDs: [53, 16, 65, 62],Nomes: [Dev53, Dev16, Dev65, Dev62],Fit: [0.81, 0.63, 0.69, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 94,IDs: [45, 7, 29, 198],Nomes: [Dev45, Dev7, Dev29, Dev198],Fit: [0.88, 0.88, 0.69, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.44
Cromossomo: 95,IDs: [53, 16, 27, 85],Nomes: [Dev53, Dev16, Dev27, Dev85],Fit: [0.81, 0.63, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.15
Cromossomo: 96,IDs: [104, 28, 65, 62],Nomes: [Dev104, Dev28, Dev65, Dev62],Fit: [0.75, 0.69, 0.69, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.14
Cromossomo: 97,IDs: [48, 46, 94, 81],Nomes: [Dev48, Dev46, Dev94, Dev81],Fit: [0.88, 0.75, 0.75, 0.75],Nível: [Middle, Master, Senior, Junior],Total Fit: 0.03
Cromossomo: 98,IDs: [45, 7, 29, 198],Nomes: [Dev45, Dev7, Dev29, Dev198],Fit: [0.88, 0.88, 0.69, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.44
Cromossomo: 99,IDs: [104, 16, 27, 85],Nomes: [Dev104, Dev16, Dev27, Dev85],Fit: [0.75, 0.63, 0.75, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.14
Cromossomo: 100,IDs: [53, 28, 65, 62],Nomes: [Dev53, Dev28, Dev65, Dev62],Fit: [0.81, 0.69, 0.69, 0.63],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.14
Cromossomo: 101,IDs: [81, 8, 17, 46],Nomes: [Dev81, Dev8, Dev17, Dev46],Fit: [0.75, 0.75, 0.81, 0.75],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.03
Cromossomo: 102,IDs: [45, 7, 29, 198],Nomes: [Dev45, Dev7, Dev29, Dev198],Fit: [0.88, 0.88, 0.69, 0],Nível: [Junior, Middle, Senior, Master],Total Fit: 0.44
